grades
0.0
0.0
3.0
0.0
100.0
50.76
88.13
93.74
60.0
88.45
85.21
66.1
97.8
69.66
100.0
96.55
79.16
93.74
99.36
100.0
64.8
63.18
96.55
64.8
96.0
100.0
100.0
63.18
79.16
44.71
0.0
88.88
100.0
69.12
0.0
91.37
92.56
77.33
66.1
93.74
77.33
88.88
66.85
77.33
92.56
0.0
68.04
88.13
57.24
57.8
68.04
91.37
50.76
100.0
68.04
40.0
93.31
69.66
57.8
0.0
96.55
0.0
72.14
83.92
88.13
0.0
93.31
90.07
88.88
50.76
99.36
66.85
100.0
99.36
93.74
79.6
75.49
85.21
66.85
100.0
60.0
93.74
69.12
57.24
79.16
69.66
97.8
69.12
93.31
60.0
89.42
44.71
90.07
100.0
63.18
83.92
0.0
100.0
44.71
72.14
79.7
40.0
88.45
93.74
40.0
96.0
92.56
85.21
72.14
89.42
90.07
100.0
75.49
91.37
100.0
79.7
88.45
66.1
97.52
89.42
0.0
0.0
97.52
64.8
100.0
100.0
93.8
57.8
57.24
75.49
79.6
79.6
93.8
93.8
0.0
