grades
0
0
10
0
18
12
19
0
11
0
0
16
0
10
0
10
0
8
0
0
0
10
0
0
0
20
0
15
0
8
0
12
0
0
0
7
0
0
0
16
15
11
0
0
0
16
0
0
13
17
0
6
15
0
0
0
10
10
0
19
0
10
15
0
0
0
0
0
13
0
8
0
14
13
0
0
10
0
0
